exampleSentence,partOfSpeech,sentimentTag,sentimentStrength,tokens
Rumah saya dkt dengan sekolah.,preposition,neutral,0.0,"['rumah', 'saya', 'dkt', 'dengan', 'sekolah', '.']"
Kami bekerja sehingga larut malam.,"conjunction, preposition",neutral,0.0,"['kami', 'bekerja', 'sehingga', 'larut', 'malam', '.']"
Jawapan awak wrong.,adjective,negative,-0.5,"['jawapan', 'awak', 'wrong', '.']"
Dia baru tiba dari Kuala Lumpur.,"adjective, adverb",neutral,0.0,"['dia', 'baru', 'tiba', 'dari', 'kuala', 'lumpur', '.']"
Saya datang saja untuk melihat.,adverb,neutral,0.0,"['saya', 'datang', 'saja', 'untuk', 'melihat', '.']"
Saksi menceritakan kejadiannya dengan terperinci.,noun,neutral,0.0,"['saksi', 'menceritakan', 'kejadiannya', 'dengan', 'terperinci', '.']"
Awak patut buat macamni.,adverb,neutral,0.0,"['awak', 'patut', 'buat', 'macamni', '.']"
Dia tercarut apabila jarinya tersepit pintu.,verb,negative,-0.6,"['dia', 'tercarut', 'apabila', 'jarinya', 'tersepit', 'pintu', '.']"
Jumpa nnti.,adverb,neutral,0.0,"['jumpa', 'nnti', '.']"
Kami ada respek yang tinggi padanya.,noun,positive,0.7,"['kami', 'ada', 'respek', 'yang', 'tinggi', 'padanya', '.']"
Buah-buahan berlambak di pasar.,adjective,neutral,0.2,"['buah', '-', 'buahan', 'berlambak', 'di', 'pasar', '.']"
Awak boleh pergi sekarang.,modal verb,neutral,0.0,"['awak', 'boleh', 'pergi', 'sekarang', '.']"
Dia kehilangan semua taruhannya semalam.,noun,neutral,0.0,"['dia', 'kehilangan', 'semua', 'taruhannya', 'semalam', '.']"
Polis menahan beberapa orang tersangka dalam kes rompakan itu.,noun,negative,-0.5,"['polis', 'menahan', 'beberapa', 'orang', 'tersangka', 'dalam', 'kes', 'rompakan', 'itu', '.']"
Knpa awak tak datang semalam?,interrogative adverb,neutral,0.0,"['knpa', 'awak', 'tak', 'datang', 'semalam', '?']"
Dia suka minum air sejuk.,verb,neutral,0.0,"['dia', 'suka', 'minum', 'air', 'sejuk', '.']"
"Kalau awak setuju, kita boleh teruskan.",conjunction,neutral,0.0,"['kalau', 'awak', 'setuju', ',', 'kita', 'boleh', 'teruskan', '.']"
Dia nak jumpa awak now.,adverb,neutral,0.0,"['dia', 'nak', 'jumpa', 'awak', 'now', '.']"
Dia sedang menunggu di luar rumah.,adverb,neutral,0.0,"['dia', 'sedang', 'menunggu', 'di', 'luar', 'rumah', '.']"
Buku hok dia baca tu menarik.,conjunction,neutral,0.0,"['buku', 'hok', 'dia', 'baca', 'tu', 'menarik', '.']"
"Yah, betul tu!",interjection,neutral,0.0,"['yah', ',', 'betul', 'tu', '!']"
Rumah itu sangat besar.,demonstrative pronoun,neutral,0.0,"['rumah', 'itu', 'sangat', 'besar', '.']"
Dia lari ke arah hutan.,verb,neutral,0.0,"['dia', 'lari', 'ke', 'arah', 'hutan', '.']"
Dia menjadi kaya setelah berjaya dalam perniagaan.,adjective,positive,0.8,"['dia', 'menjadi', 'kaya', 'setelah', 'berjaya', 'dalam', 'perniagaan', '.']"
Bdx-bdx tu main bola di padang.,noun,neutral,0.0,"['bdx', '-', 'bdx', 'tu', 'main', 'bola', 'di', 'padang', '.']"
Dia berkelakuan seperti orang gila.,adjective,negative,-0.7,"['dia', 'berkelakuan', 'seperti', 'orang', 'gila', '.']"
Dia sentiasa berdoa untuk kebaikan keluarganya.,noun,positive,0.6,"['dia', 'sentiasa', 'berdoa', 'untuk', 'kebaikan', 'keluarganya', '.']"
Rumah itu diperbuat daripada kayu.,noun,neutral,0.0,"['rumah', 'itu', 'diperbuat', 'daripada', 'kayu', '.']"
"Apa khabar, anda?",pronoun,neutral,0.0,"['apa', 'khabar', ',', 'anda', '?']"
Perompak itu berjaya ditangkap polis.,noun,negative,-0.9,"['perompak', 'itu', 'berjaya', 'ditangkap', 'polis', '.']"
Tolong bwk buku ni.,verb,neutral,0.0,"['tolong', 'bwk', 'buku', 'ni', '.']"
Merokok adalah bahaya kepada kesihatan.,noun,negative,-0.8,"['merokok', 'adalah', 'bahaya', 'kepada', 'kesihatan', '.']"
Barang tu takda di kedai.,adverb,neutral,0.0,"['barang', 'tu', 'takda', 'di', 'kedai', '.']"
Teruknya keadaan rumah itu selepas banjir.,adjective,negative,-0.7,"['teruknya', 'keadaan', 'rumah', 'itu', 'selepas', 'banjir', '.']"
"Walau hujan lebat, kami tetap pergi.",conjunction,neutral,0.0,"['walau', 'hujan', 'lebat', ',', 'kami', 'tetap', 'pergi', '.']"
Sila bunyikan loceng jika anda memerlukan bantuan.,verb,neutral,0.0,"['sila', 'bunyikan', 'loceng', 'jika', 'anda', 'memerlukan', 'bantuan', '.']"
Dia tentu akan datang esok.,adjective,neutral,0.0,"['dia', 'tentu', 'akan', 'datang', 'esok', '.']"
"Huhu, memang kelakar cerita tu.",interjection,neutral,0.0,"['huhu', ',', 'memang', 'kelakar', 'cerita', 'tu', '.']"
Penyamun itu bersenjatakan parang.,noun,negative,-0.9,"['penyamun', 'itu', 'bersenjatakan', 'parang', '.']"
Mereka sedang bicara tentang masa depan syarikat.,verb,neutral,0.0,"['mereka', 'sedang', 'bicara', 'tentang', 'masa', 'depan', 'syarikat', '.']"
Bau hancing dari longkang itu sangat kuat.,adjective,negative,-0.6,"['bau', 'hancing', 'dari', 'longkang', 'itu', 'sangat', 'kuat', '.']"
Mrk semua dah balik.,pronoun,neutral,0.0,"['mrk', 'semua', 'dah', 'balik', '.']"
Ini adalah bahagian akhir bab ini.,adjective,neutral,0.0,"['ini', 'adalah', 'bahagian', 'akhir', 'bab', 'ini', '.']"
Tolong beritahu saya jika ada apa-apa perubahan.,verb,neutral,0.0,"['tolong', 'beritahu', 'saya', 'jika', 'ada', 'apa', '-', 'apa', 'perubahan', '.']"
Dia mlepaskan burung itu ke udara.,verb,neutral,0.0,"['dia', 'mlepaskan', 'burung', 'itu', 'ke', 'udara', '.']"
Be careful bila berjalan di sana.,adjective,positive,0.4,"['be', 'careful', 'bila', 'berjalan', 'di', 'sana', '.']"
You should pergi sekarang.,modal verb,neutral,0.0,"['you', 'should', 'pergi', 'sekarang', '.']"
Dia tak reti cakap Melayu.,verb,neutral,0.0,"['dia', 'tak', 'reti', 'cakap', 'melayu', '.']"
Dia menunggang motor ke tempat kerja.,noun,neutral,0.0,"['dia', 'menunggang', 'motor', 'ke', 'tempat', 'kerja', '.']"
Mangsa banjir dipindahkan ke pusat perlindungan.,noun,negative,-0.7,"['mangsa', 'banjir', 'dipindahkan', 'ke', 'pusat', 'perlindungan', '.']"
"Kak, tolong belikan roti.",noun,neutral,0.0,"['kak', ',', 'tolong', 'belikan', 'roti', '.']"
Kereta itu langgar lampu isyarat.,verb,negative,-0.6,"['kereta', 'itu', 'langgar', 'lampu', 'isyarat', '.']"
Akulah yang bertanggungjawab.,pronoun,neutral,0.0,"['akulah', 'yang', 'bertanggungjawab', '.']"
Dia intai dari balik tirai.,verb,neutral,-0.2,"['dia', 'intai', 'dari', 'balik', 'tirai', '.']"
Filem itu adalah yang scariest (paling menakutkan) yang pernah saya tonton.,adjective,negative,-0.8,"['filem', 'itu', 'adalah', 'yang', 'scariest', '(', 'paling', 'menakutkan', ')', 'yang', 'pernah', 'saya', 'tonton', '.']"
Pasukan musuh akhirnya tumpas di medan perang.,verb,negative,-0.7,"['pasukan', 'musuh', 'akhirnya', 'tumpas', 'di', 'medan', 'perang', '.']"
Dia diberi penghargaan atas usahanya.,verb,neutral,0.0,"['dia', 'diberi', 'penghargaan', 'atas', 'usahanya', '.']"
Adakah anda dengr (dengar) apa yang dia katakan?,verb,neutral,0.0,"['adakah', 'anda', 'dengr', '(', 'dengar', ')', 'apa', 'yang', 'dia', 'katakan', '?']"
Kerajaan mengambil Tindakan (tindakan) tegas terhadap rasuah.,noun,neutral,0.0,"['kerajaan', 'mengambil', 'tindakan', '(', 'tindakan', ')', 'tegas', 'terhadap', 'rasuah', '.']"
Longkong.yg (longkang yang) kotor itu perlu dibersihkan.,noun,neutral,0.0,"['longkong', '.', 'yg', '(', 'longkang', 'yang', ')', 'kotor', 'itu', 'perlu', 'dibersihkan', '.']"
Saya can't (tidak dapat) datang ke majlis itu.,modal verb,neutral,0.0,"['saya', 'ca', ""n't"", '(', 'tidak', 'dapat', ')', 'datang', 'ke', 'majlis', 'itu', '.']"
"Merokok sangat bahaya,kalau (bahaya, kalau) tidak berhenti.",noun,negative,-0.8,"['merokok', 'sangat', 'bahaya', ',', 'kalau', '(', 'bahaya', ',', 'kalau', ')', 'tidak', 'berhenti', '.']"
Mereka cuba duit..rmpak (merompak duit) dari bank itu.,verb,negative,-0.9,"['mereka', 'cuba', 'duit', '.', 'rmpak', '(', 'merompak', 'duit', ')', 'dari', 'bank', 'itu', '.']"
Wanita itu seorang usahawan yang berjaya.,noun,neutral,0.0,"['wanita', 'itu', 'seorang', 'usahawan', 'yang', 'berjaya', '.']"
Polis berjaya menangkap PENJENAYAH (penjenayah) itu.,noun,negative,-0.8,"['polis', 'berjaya', 'menangkap', 'penjenayah', '(', 'penjenayah', ')', 'itu', '.']"
Dia selalunya pulang ke rumah awal.,adverb,neutral,0.0,"['dia', 'selalunya', 'pulang', 'ke', 'rumah', 'awal', '.']"
"Naudzubillahiminzalik, semoga kita dijauhkan dari musibah itu.",interjection,negative,-0.5,"['naudzubillahiminzalik', ',', 'semoga', 'kita', 'dijauhkan', 'dari', 'musibah', 'itu', '.']"
Sy (Saya) tidak tahu.,pronoun,neutral,0.0,"['sy', '(', 'saya', ')', 'tidak', 'tahu', '.']"
Buku itu ada di dalam beg.,preposition,neutral,0.0,"['buku', 'itu', 'ada', 'di', 'dalam', 'beg', '.']"
Perangai dia macam iblis! (syaitan),noun,negative,-0.9,"['perangai', 'dia', 'macam', 'iblis', '!', '(', 'syaitan', ')']"
Dia fasih berbahasa inggeris (Inggeris).,adjective,neutral,0.0,"['dia', 'fasih', 'berbahasa', 'inggeris', '(', 'inggeris', ')', '.']"
Bangunan itu sangat tinggi.,adjective,neutral,0.0,"['bangunan', 'itu', 'sangat', 'tinggi', '.']"
Dia trus (terus) berjalan tanpa menoleh.,adverb,neutral,0.0,"['dia', 'trus', '(', 'terus', ')', 'berjalan', 'tanpa', 'menoleh', '.']"
Ucapan itu sangat bermakna baginya.,verb,neutral,0.0,"['ucapan', 'itu', 'sangat', 'bermakna', 'baginya', '.']"
Dia juga ingin turut serta.,adverb,neutral,0.0,"['dia', 'juga', 'ingin', 'turut', 'serta', '.']"
Dia tepuk bahu saya.,verb,neutral,0.0,"['dia', 'tepuk', 'bahu', 'saya', '.']"
Tiada bukti kukuh ditemui.,noun,neutral,0.0,"['tiada', 'bukti', 'kukuh', 'ditemui', '.']"
Saya DAN (dan) kawan saya pergi ke pasar.,conjunction,neutral,0.0,"['saya', 'dan', '(', 'dan', ')', 'kawan', 'saya', 'pergi', 'ke', 'pasar', '.']"
Malaysia terkenal dengan kepelbagaian budayanya.,proper noun,neutral,0.0,"['malaysia', 'terkenal', 'dengan', 'kepelbagaian', 'budayanya', '.']"
Dia mempunyai niat baik untuk membantu.,noun,neutral,0.0,"['dia', 'mempunyai', 'niat', 'baik', 'untuk', 'membantu', '.']"
Mereka berbincang pasal masalah itu.,preposition,neutral,0.0,"['mereka', 'berbincang', 'pasal', 'masalah', 'itu', '.']"
Dia pergi keje (kerja) setiap pagi.,noun,neutral,0.0,"['dia', 'pergi', 'keje', '(', 'kerja', ')', 'setiap', 'pagi', '.']"
Penjenayah itu masih dicari oleh pihak polis.,verb,neutral,0.0,"['penjenayah', 'itu', 'masih', 'dicari', 'oleh', 'pihak', 'polis', '.']"
Dia taknak. (tidak mahu) makan nasi.,verb,neutral,0.0,"['dia', 'taknak', '.', '(', 'tidak', 'mahu', ')', 'makan', 'nasi', '.']"
Kita memerlukan..sekarang (memerlukan sekarang) bantuan anda.,verb,neutral,0.0,"['kita', 'memerlukan', '.', 'sekarang', '(', 'memerlukan', 'sekarang', ')', 'bantuan', 'anda', '.']"
Betul ka (betulkah) apa yang dia cakap?,particle,neutral,0.0,"['betul', 'ka', '(', 'betulkah', ')', 'apa', 'yang', 'dia', 'cakap', '?']"
Dia tidak datang karna (kerana) hujan lebat.,conjunction,neutral,0.0,"['dia', 'tidak', 'datang', 'karna', '(', 'kerana', ')', 'hujan', 'lebat', '.']"
Ada banyak.. (banyak) buku di perpustakaan itu.,adjective,neutral,0.0,"['ada', 'banyak', '.', '(', 'banyak', ')', 'buku', 'di', 'perpustakaan', 'itu', '.']"
Dia mempunyai muka yang cantik.,noun,neutral,0.0,"['dia', 'mempunyai', 'muka', 'yang', 'cantik', '.']"
Dia mengetuk pintu berkali-kali.,verb,neutral,0.0,"['dia', 'mengetuk', 'pintu', 'berkali', '-', 'kali', '.']"
Guru itu sangat tegas dalam mendidik muridnya.,adjective,neutral,0.0,"['guru', 'itu', 'sangat', 'tegas', 'dalam', 'mendidik', 'muridnya', '.']"
Penciptaan alat baharu itu mengambil masa bertahun-tahun.,noun,neutral,0.0,"['penciptaan', 'alat', 'baharu', 'itu', 'mengambil', 'masa', 'bertahun', '-', 'tahun', '.']"
"Selepas keja,dapat (kerja, dapat)lah gajinya.",noun,neutral,0.0,"['selepas', 'keja', ',', 'dapat', '(', 'kerja', ',', 'dapat)lah', 'gajinya', '.']"
Saya bumped (terlanggar) meja itu tadi.,verb,negative,-0.2,"['saya', 'bumped', '(', 'terlanggar', ')', 'meja', 'itu', 'tadi', '.']"
Dia diri....langgar (melanggar) keretanya.,verb,negative,-0.7,"['dia', 'diri', '.', 'langgar', '(', 'melanggar', ')', 'keretanya', '.']"
Dia drive (memandu) keretanya dengan laju.,verb,neutral,0.0,"['dia', 'drive', '(', 'memandu', ')', 'keretanya', 'dengan', 'laju', '.']"
"Dia tinggal di jb, (Johor Bahru).",proper noun,neutral,0.0,"['dia', 'tinggal', 'di', 'jb', ',', '(', 'johor', 'bahru', ')', '.']"
Tolong saya angkat kotak ini.,verb,neutral,0.0,"['tolong', 'saya', 'angkat', 'kotak', 'ini', '.']"
Kereta itu ada gear auto (automatik).,adjective,neutral,0.0,"['kereta', 'itu', 'ada', 'gear', 'auto', '(', 'automatik', ')', '.']"
Aduh! Sakitnya kaki saya.,interjection,negative,-0.3,"['aduh', '!', 'sakitnya', 'kaki', 'saya', '.']"
Saya xbulih (tidak boleh) datang esok.,modal verb,neutral,0.0,"['saya', 'xbulih', '(', 'tidak', 'boleh', ')', 'datang', 'esok', '.']"
Di mana awak tinggal?,interrogative pronoun,neutral,0.0,"['di', 'mana', 'awak', 'tinggal', '?']"
Kita (kita) perlu bekerjasama.,pronoun,neutral,0.0,"['kita', '(', 'kita', ')', 'perlu', 'bekerjasama', '.']"
"Dia ingin keluar...aduhhh,cara (keluar, aduh, cari cara) untuk menyelesaikan masalah ini.",verb,neutral,0.0,"['dia', 'ingin', 'keluar', '.', 'aduhhh', ',', 'cara', '(', 'keluar', ',', 'aduh', ',', 'cari', 'cara', ')', 'untuk', 'menyelesaikan', 'masalah', 'ini', '.']"
Saya akan pulang ke kampung esok.,pronoun,neutral,0.0,"['saya', 'akan', 'pulang', 'ke', 'kampung', 'esok', '.']"
Dia memuat naik video baru ke saluran YouTube.,noun,neutral,0.0,"['dia', 'memuat', 'naik', 'video', 'baru', 'ke', 'saluran', 'youtube', '.']"
Huruf 'r' sering digunakan dalam perkataan pinjaman.,letter,neutral,0.0,"['huruf', ""'"", 'r', ""'"", 'sering', 'digunakan', 'dalam', 'perkataan', 'pinjaman', '.']"
Persembahan mereka malam tadi sangat fantastis.,adjective,positive,0.8,"['persembahan', 'mereka', 'malam', 'tadi', 'sangat', 'fantastis', '.']"
Saya ada klas tambahan petang ini.,noun,neutral,0.0,"['saya', 'ada', 'klas', 'tambahan', 'petang', 'ini', '.']"
Dia memakai cap berwarna biru.,noun,neutral,0.0,"['dia', 'memakai', 'cap', 'berwarna', 'biru', '.']"
Woww...cermin ini sangat bersih!,noun,neutral,0.0,"['woww', '.', 'cermin', 'ini', 'sangat', 'bersih', '!']"
Pihak polis sedang memburu pelaku jenayah itu.,noun,neutral,0.0,"['pihak', 'polis', 'sedang', 'memburu', 'pelaku', 'jenayah', 'itu', '.']"
"“Awak faham?” “Ye, saya faham.”",interjection,neutral,0.0,"['“', 'awak', 'faham', '?', '”', '“', 'ye', ',', 'saya', 'faham', '.', '”']"
Dia memerlukan lebih banyak tenaga untuk menyelesaikan kerja itu.,noun,neutral,0.0,"['dia', 'memerlukan', 'lebih', 'banyak', 'tenaga', 'untuk', 'menyelesaikan', 'kerja', 'itu', '.']"
Tindakannya itu hanya menyusahkn orang lain.,verb,negative,-0.7,"['tindakannya', 'itu', 'hanya', 'menyusahkn', 'orang', 'lain', '.']"
Makanan sihat adalah penting untuk kesihatan.,noun,neutral,0.0,"['makanan', 'sihat', 'adalah', 'penting', 'untuk', 'kesihatan', '.']"
Saya akan melawat sepupu saya hujung minggu ini.,noun,neutral,0.0,"['saya', 'akan', 'melawat', 'sepupu', 'saya', 'hujung', 'minggu', 'ini', '.']"
Saya tak thu bila dia akan sampai.,verb,neutral,0.0,"['saya', 'tak', 'thu', 'bila', 'dia', 'akan', 'sampai', '.']"
"Kalau ada masa, saya akan datang.",conjunction,neutral,0.0,"['kalau', 'ada', 'masa', ',', 'saya', 'akan', 'datang', '.']"
"Dia bukan penakut, dia cuma berhati-hati.",adjective,negative,-0.6,"['dia', 'bukan', 'penakut', ',', 'dia', 'cuma', 'berhati', '-', 'hati', '.']"
Kereta itu remuk teruk selepas kemalangan.,adjective,negative,-0.5,"['kereta', 'itu', 'remuk', 'teruk', 'selepas', 'kemalangan', '.']"
Dia berasa hidupnya seperti di neraka selepas kejadian itu.,noun,negative,-0.8,"['dia', 'berasa', 'hidupnya', 'seperti', 'di', 'neraka', 'selepas', 'kejadian', 'itu', '.']"
JIRAN baharu kami sangat peramah.,noun,neutral,0.0,"['jiran', 'baharu', 'kami', 'sangat', 'peramah', '.']"
Dia menulis dengan tangan kanannya.,noun,neutral,0.0,"['dia', 'menulis', 'dengan', 'tangan', 'kanannya', '.']"
Dia pergi ke sekolah menunggang basikal.,noun,neutral,0.0,"['dia', 'pergi', 'ke', 'sekolah', 'menunggang', 'basikal', '.']"
Pelajar itu sedang belajar Alg2 di universiti.,noun,neutral,0.0,"['pelajar', 'itu', 'sedang', 'belajar', 'alg2', 'di', 'universiti', '.']"
Jantungnya berdegup laju kerana takut.,noun,neutral,0.0,"['jantungnya', 'berdegup', 'laju', 'kerana', 'takut', '.']"
Dia berasa down selepas gagal dalam peperiksaan.,adjective,negative,-0.4,"['dia', 'berasa', 'down', 'selepas', 'gagal', 'dalam', 'peperiksaan', '.']"
Sediakan 2-3 biji telur untuk resepi ini.,numeral,neutral,0.0,"['sediakan', '2', '-', '3', 'biji', 'telur', 'untuk', 'resepi', 'ini', '.']"
Saya xdpt hadir ke majlis itu.,verb,negative,-0.3,"['saya', 'xdpt', 'hadir', 'ke', 'majlis', 'itu', '.']"
Beliau ialah seorang tokoh masyarakat yang dihormati.,pronoun,neutral,0.0,"['beliau', 'ialah', 'seorang', 'tokoh', 'masyarakat', 'yang', 'dihormati', '.']"
Gunakan akai anda untuk menyelesaikan masalah ini.,noun,neutral,0.0,"['gunakan', 'akai', 'anda', 'untuk', 'menyelesaikan', 'masalah', 'ini', '.']"
Kami telah berjaya menamatkan projek ini 🏁🏁🏁.,emoji,positive,0.5,"['kami', 'telah', 'berjaya', 'menamatkan', 'projek', 'ini', 'chequered', 'flagchequered', 'flagchequered', 'flag', '.']"
Makan sambil berdiri itu haram😁 katanya.,adjective,negative,-0.7,"['makan', 'sambil', 'berdiri', 'itu', 'harambeaming', 'face', 'with', 'smiling', 'eyes', 'katanya', '.']"
"Hati-hati dengan api, ia boleh membakar.",noun,neutral,0.0,"['hati', '-', 'hati', 'dengan', 'api', ',', 'ia', 'boleh', 'membakar', '.']"
Zahid akan datang ke majlis esok.,proper noun,neutral,0.0,"['zahid', 'akan', 'datang', 'ke', 'majlis', 'esok', '.']"
Tayar keretanya pancit di tepi jalan.,noun,neutral,0.0,"['tayar', 'keretanya', 'pancit', 'di', 'tepi', 'jalan', '.']"
Penjenayah itu dihantar ke jail.,noun,negative,-0.7,"['penjenayah', 'itu', 'dihantar', 'ke', 'jail', '.']"
Semoga doa kita dimakbulkan. Aamiin3.,interjection,positive,0.8,"['semoga', 'doa', 'kita', 'dimakbulkan', '.', 'aamiin3', '.']"
Dia datang ke majlis itu serta rakan-rakannya.,conjunction,neutral,0.0,"['dia', 'datang', 'ke', 'majlis', 'itu', 'serta', 'rakan', '-', 'rakannya', '.']"
Buku itu ada didalam beg.,preposition,neutral,0.0,"['buku', 'itu', 'ada', 'didalam', 'beg', '.']"
Sungguh bodohnya tindakan itu!,adjective,negative,-0.8,"['sungguh', 'bodohnya', 'tindakan', 'itu', '!']"
ADA banyak makanan di sana.,verb,neutral,0.0,"['ada', 'banyak', 'makanan', 'di', 'sana', '.']"
Tolong padam lampu sebelum tidur.,verb,neutral,0.0,"['tolong', 'padam', 'lampu', 'sebelum', 'tidur', '.']"
"Oh, ii, saya faham sekarang.",interjection,neutral,0.0,"['oh', ',', 'ii', ',', 'saya', 'faham', 'sekarang', '.']"
