tokens,partOfSpeech,sentimentTag,sentimentStrength,overallSentenceTag,overallSentenceStrength
"['dia', 'ingin', 'mnjadi', 'doktor', 'apabila', 'dewasa', 'nanti', '.']","['pronoun', 'verb', 'verb', 'unknown', 'unknown', 'unknown', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['berita', 'tentang', 'perampok,,takut', 'itu', 'tersebar', 'luas', '.']","['noun', 'unknown', 'noun', 'demonstrative pronoun', 'unknown', 'unknown', 'unknown']","['neutral', 'unknown', 'negative', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, -0.9, 0.0, 0.0, 0.0, 0.0]",negative,-0.9
"['dia', 'de', 'kat', 'sana', 'ke', '?']","['pronoun', 'colloquialism', 'preposition / verb (informal)', 'unknown', 'particle (interrogative)', 'punctuation']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'neutral']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['we', 'will', 'be', 'together', 'forever', '.']","['unknown', 'auxiliary verb', 'verb', 'unknown', 'adverb', 'unknown']","['unknown', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'datang', 'jugak', '.', 'walaupun', 'lambat', '.']","['pronoun', 'verb', 'adverb', 'unknown', 'conjunction', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'meletakkan', 'taruhan', '.', 'yang', 'besar', 'pada', 'perlumbaan', 'itu', '.']","['pronoun', 'unknown', 'noun', 'unknown', 'pronoun, conjunction', 'adjective', 'preposition', 'unknown', 'demonstrative pronoun', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'mengatakan', 'bahwa', 'dia', 'akan', 'datang', '.']","['pronoun', 'unknown', 'conjunction', 'pronoun', 'auxiliary verb', 'verb', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kereta', 'itu', 'bergerak', 'terlalu', 'laju', '.']","['kata nama', 'demonstrative pronoun', 'unknown', 'adverb', 'adjective', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['hola', ',', 'apa', 'khabar', '?']","['interjection', 'punctuation', 'pronoun', 'unknown', 'punctuation']","['positive', 'neutral', 'neutral', 'unknown', 'neutral']","[0.3, 0.0, 0.0, 0.0, 0.0]",positive,0.3
"['anjing', '-', 'anjing', 'di', 'jalan', 'itu', 'kelihatan', 'kelaparan', '.']","['noun', 'punctuation', 'noun', 'preposition', 'noun/verb', 'demonstrative pronoun', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.4
"['pasai', 'apa', 'dia', 'tak', 'datang', '?']","['preposition', 'pronoun', 'pronoun', 'adverb (negation)', 'verb', 'punctuation']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kenapa', 'dia', 'tak', 'datang', '?', 'xdak', ',', 'tulaa', '.']","['interrogative pronoun/adverb', 'pronoun', 'adverb (negation)', 'verb', 'punctuation', 'unknown', 'punctuation', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['duit', 'saya', 'xde', 'dalam', 'dompet', '.']","['noun', 'pronoun', 'colloquialism', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['semua', 'makhluk', 'hidup', 'perlu', 'air', '.']","['quantifier / pronoun', 'unknown', 'verb, adjective', 'verb/adjective', 'unknown', 'unknown']","['neutral', 'unknown', 'positive', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.5, 0.0, 0.0, 0.0]",positive,0.5
"['keputusan', 'itu', 'tetap', 'tidak', 'boleh', 'diubah', '.']","['unknown', 'demonstrative pronoun', 'adjective, adverb', 'adverb', 'modal verb', 'unknown', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['saya', 'baru', 'membeli', 'car', '.', 'baru', '.']","['pronoun', 'adjective, adverb', 'unknown', 'noun', 'unknown', 'adjective, adverb', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'memandu', 'slow2.kuku', 'di', 'jalan', 'yang', 'licin', '.']","['pronoun', 'unknown', 'unknown', 'preposition', 'noun/verb', 'pronoun, conjunction', 'unknown', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['mesyuarat', 'itu', 'berlangsung', 'selama', 'tiga', 'puluh', 'minit', '.']","['unknown', 'demonstrative pronoun', 'unknown', 'unknown', 'unknown', 'unknown', 'noun', 'unknown']","['unknown', 'neutral', 'unknown', 'unknown', 'unknown', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'hampir', 'mampus', 'dilanggar', 'kereta', '.']","['pronoun', 'kata keterangan/kata sifat', 'verb, exclamation', 'verb', 'kata nama', 'unknown']","['neutral', 'neutral', 'negative', 'negative', 'neutral', 'unknown']","[0.0, 0.0, -0.9, -0.6, 0.0, 0.0]",negative,-0.9
"['produk', 'd9', 'telah', 'dilancarkan', 'di', 'pasaran', '.']","['unknown', 'code', 'unknown', 'unknown', 'preposition', 'unknown', 'unknown']","['unknown', 'neutral', 'unknown', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['pihak', 'polis', 'berjaya', 'menangkap', 'pnyamun', 'itu', '.']","['noun', 'noun', 'unknown', 'unknown', 'noun', 'demonstrative pronoun', 'unknown']","['neutral', 'neutral', 'unknown', 'unknown', 'negative', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, -0.9, 0.0, 0.0]",negative,-0.9
"['buku', 'ni', ',', 'saya', 'punya', '.']","['unknown', 'pronoun', 'punctuation', 'pronoun', 'verb, auxiliary, possessive marker', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kami', 'akan', 'makan', 'malam', 'di', 'restoran', 'itu', '.']","['unknown', 'auxiliary verb', 'verb', 'unknown', 'preposition', 'unknown', 'demonstrative pronoun', 'unknown']","['unknown', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['apa', 'time', 'kita', 'nak', 'jumpa', '?']","['pronoun', 'noun', 'pronoun', 'auxiliary verb', 'verb', 'punctuation']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['perkara', 'tersebut', '.', 'perlu', 'diberi', 'perhatian', '.']","['unknown', 'adjective', 'unknown', 'verb/adjective', 'verb', 'noun', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]",neutral,0.0
"['arahan', 'yang', 'diberikan', 'sangat', 'jelas', '.']","['unknown', 'pronoun, conjunction', 'unknown', 'adverb', 'adjective', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.4, 0.0]",positive,0.4
"['rumah', 'saya', 'dkt', 'dengan', 'sekolah', '.']","['noun', 'pronoun', 'preposition', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kami', 'bekerja', 'sehingga', 'larut', 'malam', '.']","['unknown', 'unknown', 'conjunction, preposition', 'unknown', 'unknown', 'unknown']","['unknown', 'unknown', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['jawapan', 'awak', 'wrong', '.']","['unknown', 'unknown', 'adjective', 'unknown']","['unknown', 'unknown', 'negative', 'unknown']","[0.0, 0.0, -0.5, 0.0]",negative,-0.5
"['dia', 'baru', 'tiba', 'dari', 'kuala', 'lumpur', '.']","['pronoun', 'adjective, adverb', 'unknown', 'preposition', 'noun', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['saya', 'datang', 'saja', 'untuk', 'melihat', '.']","['pronoun', 'verb', 'adverb', 'preposition', 'verb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['saksi', 'menceritakan', 'kejadiannya', 'dengan', 'terperinci', '.']","['unknown', 'unknown', 'noun', 'preposition', 'unknown', 'unknown']","['unknown', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['awak', 'patut', 'buat', 'macamni', '.']","['unknown', 'adjective', 'kata kerja', 'adverb', 'unknown']","['unknown', 'positive', 'neutral', 'neutral', 'unknown']","[0.0, 0.5, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'tercarut', 'apabila', 'jarinya', 'tersepit', 'pintu', '.']","['pronoun', 'verb', 'unknown', 'unknown', 'unknown', 'noun', 'unknown']","['neutral', 'negative', 'unknown', 'unknown', 'unknown', 'neutral', 'unknown']","[0.0, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.6
"['jumpa', 'nnti', '.']","['verb', 'adverb', 'unknown']","['neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0]",neutral,0.0
"['kami', 'ada', 'respek', 'yang', 'tinggi', 'padanya', '.']","['unknown', 'verb', 'noun', 'pronoun, conjunction', 'adjective', 'unknown', 'unknown']","['unknown', 'neutral', 'positive', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0]",positive,0.7
"['buah', '-', 'buahan', 'berlambak', 'di', 'pasar', '.']","['unknown', 'punctuation', 'unknown', 'adjective', 'preposition', 'noun', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0]",neutral,0.2
"['awak', 'boleh', 'pergi', 'sekarang', '.']","['unknown', 'modal verb', 'verb', 'adverb', 'unknown']","['unknown', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'kehilangan', 'semua', 'taruhannya', 'semalam', '.']","['pronoun', 'unknown', 'quantifier / pronoun', 'unknown', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['polis', 'menahan', 'beberapa', 'orang', 'tersangka', 'dalam', 'kes', 'rompakan', 'itu', '.']","['noun', 'unknown', 'determiner', 'noun', 'noun', 'preposition', 'noun', 'kata nama', 'demonstrative pronoun', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'negative', 'neutral', 'neutral', 'negative', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, -0.5, 0.0, 0.0, -0.8, 0.0, 0.0]",negative,-0.5
"['knpa', 'awak', 'tak', 'datang', 'semalam', '?']","['interrogative adverb', 'unknown', 'adverb (negation)', 'verb', 'unknown', 'punctuation']","['neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'neutral']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'suka', 'minum', 'air', 'sejuk', '.']","['pronoun', 'verb', 'verb', 'unknown', 'unknown', 'unknown']","['neutral', 'positive', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.7, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kalau', 'awak', 'setuju', ',', 'kita', 'boleh', 'teruskan', '.']","['conjunction', 'unknown', 'unknown', 'punctuation', 'pronoun', 'modal verb', 'verb', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'nak', 'jumpa', 'awak', 'now', '.']","['pronoun', 'auxiliary verb', 'verb', 'unknown', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'sedang', 'menunggu', 'di', 'luar', 'rumah', '.']","['pronoun', 'unknown', 'unknown', 'preposition', 'adverb', 'noun', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['buku', 'hok', 'dia', 'baca', 'tu', 'menarik', '.']","['unknown', 'conjunction', 'pronoun', 'unknown', 'pronoun', 'unknown', 'unknown']","['unknown', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['yah', ',', 'betul', 'tu', '!']","['interjection', 'punctuation', 'adjective', 'pronoun', 'unknown']","['neutral', 'neutral', 'positive', 'neutral', 'unknown']","[0.0, 0.0, 0.6, 0.0, 0.0]",neutral,0.0
"['rumah', 'itu', 'sangat', 'besar', '.']","['noun', 'demonstrative pronoun', 'adverb', 'adjective', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'lari', 'ke', 'arah', 'hutan', '.']","['pronoun', 'verb', 'particle (interrogative)', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'menjadi', 'kaya', 'setelah', 'berjaya', 'dalam', 'perniagaan', '.']","['pronoun', 'unknown', 'adjective', 'unknown', 'unknown', 'preposition', 'unknown', 'unknown']","['neutral', 'unknown', 'positive', 'unknown', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0]",positive,0.8
"['bdx', '-', 'bdx', 'tu', 'main', 'bola', 'di', 'padang', '.']","['noun', 'punctuation', 'noun', 'pronoun', 'verb', 'kata nama', 'preposition', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'berkelakuan', 'seperti', 'orang', 'gila', '.']","['pronoun', 'unknown', 'preposition', 'noun', 'adjective', 'unknown']","['neutral', 'unknown', 'neutral', 'neutral', 'negative', 'unknown']","[0.0, 0.0, 0.0, 0.0, -0.7, 0.0]",negative,-0.7
"['dia', 'sentiasa', 'berdoa', 'untuk', 'kebaikan', 'keluarganya', '.']","['pronoun', 'adverb', 'unknown', 'preposition', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",positive,0.6
"['rumah', 'itu', 'diperbuat', 'daripada', 'kayu', '.']","['noun', 'demonstrative pronoun', 'unknown', 'preposition', 'noun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['apa', 'khabar', ',', 'anda', '?']","['pronoun', 'unknown', 'punctuation', 'pronoun', 'punctuation']","['neutral', 'unknown', 'neutral', 'neutral', 'neutral']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['perompak', 'itu', 'berjaya', 'ditangkap', 'polis', '.']","['noun', 'demonstrative pronoun', 'unknown', 'unknown', 'noun', 'unknown']","['negative', 'neutral', 'unknown', 'unknown', 'neutral', 'unknown']","[-0.9, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.9
"['tolong', 'bwk', 'buku', 'ni', '.']","['verb', 'verb', 'unknown', 'pronoun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['merokok', 'adalah', 'bahaya', 'kepada', 'kesihatan', '.']","['unknown', 'copula / verb', 'noun', 'preposition', 'unknown', 'unknown']","['unknown', 'neutral', 'negative', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, -0.8, 0.0, 0.0, 0.0]",negative,-0.8
"['barang', 'tu', 'takda', 'di', 'kedai', '.']","['noun', 'pronoun', 'adverb', 'preposition', 'noun', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['teruknya', 'keadaan', 'rumah', 'itu', 'selepas', 'banjir', '.']","['adjective', 'noun', 'noun', 'demonstrative pronoun', 'unknown', 'unknown', 'unknown']","['negative', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[-0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",negative,-0.7
"['walau', 'hujan', 'lebat', ',', 'kami', 'tetap', 'pergi', '.']","['conjunction', 'unknown', 'unknown', 'punctuation', 'unknown', 'adjective, adverb', 'verb', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['sila', 'bunyikan', 'loceng', 'jika', 'anda', 'memerlukan', 'bantuan', '.']","['unknown', 'verb', 'unknown', 'conjunction', 'pronoun', 'unknown', 'noun', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'positive', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0]",neutral,0.0
"['dia', 'tentu', 'akan', 'datang', 'esok', '.']","['pronoun', 'adjective', 'auxiliary verb', 'verb', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['huhu', ',', 'memang', 'kelakar', 'cerita', 'tu', '.']","['interjection', 'punctuation', 'adverb', 'unknown', 'unknown', 'pronoun', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['penyamun', 'itu', 'bersenjatakan', 'parang', '.']","['noun', 'demonstrative pronoun', 'unknown', 'noun', 'unknown']","['negative', 'neutral', 'unknown', 'neutral', 'unknown']","[-0.9, 0.0, 0.0, 0.0, 0.0]",negative,-0.9
"['mereka', 'sedang', 'bicara', 'tentang', 'masa', 'depan', 'syarikat', '.']","['pronoun', 'unknown', 'verb', 'unknown', 'noun', 'noun', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
